,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
10,4.1845,4.1849,3.9728,3.9548,3.9407,3.929,3.9189,3.91,3.9021,3.8949,3.8879,3.8816,3.8758,3.8704,3.8651,3.8602,3.8555,3.8511,3.8466,3.8428,3.8387,3.8352,3.8315,3.8279,3.8243,3.821,3.8178,3.8146,3.8119,3.8089,3.8061,3.8029,3.8002,3.7974,3.7948,3.7918,3.7891,3.7864,3.7836,3.7808,3.7782,3.7752,3.7724,3.7694,3.7663,3.7634,3.7603,3.7572,3.7543,3.7510000000000003
11,4.1838,4.184,3.9668,3.9476,3.9322,3.92,3.9093,3.9,3.8913,3.8837,3.8768,3.87,3.8641,3.8585,3.853,3.8478,3.8428,3.8384,3.8342,3.83,3.826,3.8222,3.8186,3.8149,3.8115,3.8082,3.8049,3.8018,3.7988,3.7958,3.7928,3.79,3.7869,3.7838,3.7811,3.7782,3.7754,3.7725,3.7694,3.7663,3.763,3.7606,3.7573,3.7542,3.7511,3.7478,3.7445,3.7413,3.7378,3.7343
12,4.1824,4.1829,3.9592,3.9385,3.9223,3.9093,3.898,3.8878,3.8792,3.8708,3.8635,3.8567,3.8502,3.8445,3.8389,3.8337,3.8289999999999997,3.8243,3.82,3.8157,3.8116,3.8077,3.804,3.8007,3.7972,3.7939,3.7904,3.7873,3.7843,3.781,3.7783,3.7749,3.7722,3.7689999999999997,3.7661,3.7629,3.7599,3.7567,3.7536,3.7503,3.7472,3.7439,3.7408,3.7373,3.7338,3.7306,3.727,3.7236,3.7199,3.716
13,4.1832,4.183,3.9542,3.9326,3.9155,3.9017,3.8897,3.8794,3.8698,3.8611,3.8536,3.8465,3.8401,3.8338,3.8282,3.8229,3.8181,3.8133,3.8089,3.805,3.8005,3.7965,3.7934,3.7892,3.786,3.7825,3.7791,3.7760000000000002,3.7728,3.7698,3.7663,3.7636,3.7602,3.7568,3.7538,3.7506,3.7475,3.7441,3.7408,3.7373,3.7339,3.7305,3.7272,3.7236,3.7203,3.7165,3.7129,3.7089999999999996,3.7053,3.7016
14,4.19,4.1898,3.9626,3.9409,3.9243,3.9105,3.8987,3.8879,3.8786,3.8702,3.8626,3.8552,3.8488,3.8426,3.8369999999999997,3.8315,3.8266,3.8218,3.8169999999999997,3.8127,3.8088,3.8047,3.8008,3.7972,3.7937,3.7904,3.7867,3.7835,3.7802,3.7771,3.7741,3.7705,3.7675,3.7643,3.7614,3.7582,3.7549,3.7516,3.7486,3.7453,3.742,3.7385,3.7349,3.7315,3.728,3.7243,3.7209,3.7168,3.7131,3.7094
15,4.183,4.1829,3.9484,3.9254,3.9071,3.8921,3.8794,3.8683,3.8584,3.8494,3.8413,3.8339999999999996,3.827,3.821,3.8152,3.8098,3.8045,3.7998,3.7954,3.7910000000000004,3.7869,3.7828,3.7793,3.7755,3.772,3.7684,3.765,3.7618,3.7585,3.7551,3.7523,3.7487,3.7453,3.7419,3.7385,3.7351,3.7318,3.7282,3.7247,3.7211,3.7172,3.7137,3.7097,3.7060000000000004,3.7023,3.6983,3.6942,3.6903,3.6863,3.6821
16,4.1826,4.1826,3.9436,3.9192,3.9004,3.8847,3.8712,3.8596,3.8491,3.84,3.8314,3.8239,3.8169999999999997,3.8108,3.8047,3.7994,3.7941,3.7891,3.7848,3.7804,3.7764,3.7725,3.7684,3.7648,3.7611,3.7578,3.7542,3.7509,3.7473,3.7439999999999998,3.7408,3.7373,3.7338,3.7302,3.7268,3.7233,3.7197,3.7162,3.7121,3.7085,3.7045,3.7007,3.6966,3.6927,3.6888,3.6845,3.6803,3.6761,3.6722,3.6682
17,4.1839,4.1839,3.9530000000000003,3.9304,3.9131,3.8987,3.8864,3.8753,3.8655,3.8565,3.8486,3.841,3.8343,3.8281,3.8223,3.8168,3.8113,3.8066,3.8018,3.7975,3.7935,3.7893,3.7855,3.7817,3.7782,3.7747,3.7713,3.7678,3.7648,3.7613,3.7583,3.7547,3.7517,3.7483,3.7451,3.7416,3.7382,3.735,3.7313,3.7277,3.7239,3.7202,3.7163,3.7125,3.7084,3.7045,3.7003,3.6962,3.6919999999999997,3.6878
18,4.1817,4.1817,3.9442,3.9202,3.9014,3.8858,3.8726,3.8608,3.8505,3.8411,3.833,3.8249,3.8178,3.8114,3.8054,3.7998,3.7947,3.7897,3.7848,3.7807,3.7764,3.7724,3.7684,3.7645,3.7612,3.7574,3.7542,3.7505,3.7472,3.7438,3.7402,3.7368,3.7331,3.7299,3.7261,3.7226,3.7186,3.715,3.7113,3.7072,3.7033,3.6993,3.695,3.6908,3.6867,3.6824,3.6778,3.6737,3.6694,3.6651
19,4.172,4.1719,3.9304,3.9059,3.887,3.8714,3.8577,3.8459,3.8354,3.826,3.8175,3.8099,3.8027,3.7963,3.7902,3.7849,3.7797,3.7749,3.7704,3.766,3.7622,3.7582,3.7544,3.7507,3.7471,3.7436,3.7401,3.7365,3.733,3.7295,3.7260000000000004,3.7225,3.7187,3.715,3.7111,3.7071,3.7034,3.6996,3.6954,3.6913,3.6868,3.6828,3.6784,3.6741,3.6697,3.6655,3.6612,3.6571,3.6528,3.6489999999999996
20,4.1827,4.1825,3.9384,3.9130000000000003,3.8932,3.8769,3.8629,3.8502,3.8394,3.8296,3.8209,3.8128,3.8055,3.7986,3.7928,3.7868,3.7815,3.7764,3.7716,3.7672,3.7629,3.7586,3.7548,3.7510000000000003,3.7473,3.7437,3.7398,3.7367,3.7327,3.7289999999999996,3.7255,3.7216,3.718,3.714,3.7103,3.7063,3.7021,3.6983,3.6942,3.6897,3.6856,3.6812,3.6767,3.6726,3.6679,3.6636,3.6592,3.6549,3.6504,3.6464
21,4.1899,4.1899,3.9918,3.9766,3.9649,3.9549,3.9462,3.9385,3.9312,3.9248,3.9183,3.9130000000000003,3.9074,3.9025,3.8974,3.8929,3.8884,3.8844,3.8803,3.8761,3.8722,3.8686,3.8648,3.8613,3.8577,3.8544,3.8508,3.8478,3.8446,3.8414,3.8386,3.8355,3.8325,3.8297,3.8269,3.824,3.8213,3.8187,3.8162,3.8134,3.8107,3.8081,3.8056,3.8031,3.8007,3.7978,3.7955,3.7928,3.7904,3.7877
22,4.1915,4.1918,3.9945,3.9786,3.9666,3.9565,3.9475,3.9396,3.9323,3.9257,3.9193,3.9135,3.9081,3.9029,3.898,3.8933,3.8887,3.8847,3.8802,3.8764,3.8722,3.8685,3.8649,3.8614,3.8576,3.8541,3.8507,3.8473,3.8441,3.8412,3.838,3.8349,3.8318,3.8289,3.8261,3.8233,3.8204,3.8177,3.8151,3.8123,3.8097,3.8071,3.8045,3.8017,3.7991,3.7964,3.7938,3.7912,3.7884,3.7858
23,4.1935,4.1933,3.9967,3.9804,3.9681,3.9576,3.9487,3.9405,3.9332,3.9262,3.92,3.9139999999999997,3.9084,3.903,3.898,3.8932,3.8885,3.8841,3.8797,3.8755,3.8717,3.8675,3.8638,3.8601,3.8566,3.853,3.8494,3.8461,3.8429,3.8396,3.8363,3.8332,3.8303,3.8272,3.8243,3.8215,3.8187,3.8159,3.8132,3.8102,3.8076,3.8049,3.8019,3.7991,3.7964,3.7937,3.7908,3.7880000000000003,3.7851,3.7823
24,4.191,4.1905,3.9925,3.9756,3.9627,3.9522,3.943,3.9343,3.9265,3.9195,3.9125,3.9065,3.9010000000000002,3.8954,3.8901,3.8851,3.8803,3.8758,3.8715,3.8671,3.863,3.8588,3.855,3.8512,3.8473,3.8439,3.8403,3.8367,3.8336,3.8302,3.827,3.8238,3.8209,3.8179,3.8149,3.8119,3.8091,3.8063,3.8034,3.8002,3.7974,3.7946,3.7915,3.7886,3.7856,3.7827,3.7796,3.7767,3.7736,3.7704
25,4.1896,4.1896,3.9919,3.9746,3.9614,3.9506,3.9408,3.9325,3.9247,3.9175,3.9109,3.9047,3.8989,3.8931,3.8881,3.8829,3.8783,3.8735,3.8692,3.8649,3.8609,3.8563,3.8527,3.8486,3.8449,3.8413,3.8379,3.8345,3.8309,3.8274,3.8247,3.8217,3.8186,3.8154,3.8123,3.8094,3.8065,3.8037,3.8005,3.7977,3.7945,3.7915,3.7885,3.7855,3.7824,3.7792,3.7760000000000002,3.773,3.77,3.7669
26,4.1895,4.1902,3.9928,3.975,3.9618,3.9506,3.9409,3.9322,3.9243,3.9171,3.9103,3.904,3.8979,3.8923,3.8868,3.8819,3.8768,3.8719,3.8673,3.863,3.8588,3.8545,3.8504,3.8466,3.8426,3.8389,3.8355,3.8316,3.8283,3.8247,3.8218,3.8186,3.8153,3.8119,3.8089,3.8059,3.8026,3.7996,3.7962,3.7936,3.7901,3.787,3.7837,3.7805,3.7773,3.7739999999999996,3.7708,3.7673,3.7642,3.7609
27,4.1901,4.1902,3.9917,3.9731,3.9591,3.9472,3.9372,3.9281,3.9201,3.912,3.9053,3.8986,3.8924,3.8865,3.8809,3.8755,3.8705,3.8656,3.8608,3.8563,3.8519,3.8478,3.8436,3.8395,3.8357,3.8319,3.8281,3.8245,3.8211,3.8176,3.8143,3.8109,3.8077,3.8044,3.8012,3.7979,3.7948,3.7915,3.7882,3.7846,3.7813,3.7779,3.7744,3.7710000000000004,3.7675,3.764,3.7606,3.7575,3.7539999999999996,3.7506
28,4.189,4.1896,3.9911,3.9724,3.9583,3.9466,3.9362,3.927,3.9189,3.9114,3.9042,3.8976,3.8916,3.8859,3.8799,3.8751,3.8699,3.8648,3.8604,3.8559,3.8515,3.8472,3.8431,3.8393,3.8351,3.8315,3.8278,3.8242,3.8206,3.8174,3.8139,3.8108,3.8072,3.8041,3.8008,3.7975,3.7941,3.7907,3.7874,3.7841,3.7808,3.7774,3.7739999999999996,3.7702,3.7669,3.7634,3.7599,3.7564,3.753,3.7494
29,4.1885,4.1886,3.9859,3.9656,3.9505,3.9378,3.9268,3.917,3.9082,3.9,3.8924,3.8854,3.8789999999999996,3.8727,3.8667,3.8612,3.8558,3.8510000000000004,3.846,3.8412,3.8365,3.8324,3.8281,3.824,3.8199,3.8163,3.8125,3.8087,3.8051,3.8015,3.798,3.7945,3.7908,3.7872,3.7838,3.7804,3.7769,3.7729,3.7693,3.7657,3.762,3.7585,3.7547,3.7509,3.7474,3.7437,3.7401,3.7365,3.7329,3.7293
30,4.1872,4.1876,3.9909,3.9724,3.9591,3.9471,3.9373,3.9283,3.9203,3.9126,3.9059,3.8991,3.8927,3.887,3.8818,3.8766,3.8714,3.8668,3.8619,3.8573,3.8531,3.8488,3.8446,3.8411,3.8372,3.8338,3.8301,3.8268,3.8235,3.8202,3.8172,3.8139999999999996,3.8109,3.8074,3.804,3.8008,3.7973,3.7939,3.7908,3.7871,3.7832,3.7795,3.7754,3.7715,3.7677,3.7635,3.7594,3.7553,3.7511,3.747
31,4.189,4.1892,3.99,3.9704,3.9558,3.944,3.9333,3.9239,3.9152,3.9076,3.9003,3.8934,3.8868,3.8808,3.8752,3.8693,3.8643,3.8595,3.8546,3.8498,3.8454,3.8412,3.8371,3.8331,3.8295,3.8258,3.8222,3.8187,3.8153,3.8122,3.8089,3.8059,3.8017,3.7981,3.7948,3.7912,3.7875,3.7836,3.7799,3.7761,3.7719,3.7680000000000002,3.7638,3.7599,3.7556,3.7513,3.7468,3.7427,3.7383,3.7341
32,4.1868,4.1869,3.9863,3.9662,3.9512,3.9386,3.9279,3.9182,3.9096,3.9015,3.8939,3.8869,3.8803,3.8739999999999997,3.8682,3.8627,3.8574,3.8522,3.8474,3.8429,3.8385,3.8341,3.8301,3.8262,3.8226,3.8188,3.8153,3.8116,3.8083,3.8046,3.8012,3.7977,3.7942,3.7903,3.7868,3.7828,3.7789,3.7748,3.7708,3.7665,3.7623,3.7582,3.7536,3.7493,3.7447,3.7401,3.7356,3.7312,3.7271,3.7229
33,4.1862,4.1865,3.9822,3.9608,3.945,3.9317,3.9201,3.9099,3.9009,3.8921,3.8844,3.8771,3.8704,3.8639,3.8578,3.8522,3.8466,3.8414,3.8366,3.8319,3.8277,3.8231,3.8189,3.8151,3.8114,3.8075,3.8037,3.8004,3.7963,3.7928,3.7891,3.7852,3.7812,3.7771,3.7726,3.7689999999999997,3.7648,3.7602,3.7557,3.7514,3.7465,3.7421,3.7377,3.733,3.7285,3.7239,3.7197,3.7152,3.7110000000000003,3.7073
34,4.1863,4.1863,3.9782,3.9559,3.9389,3.9253,3.9130000000000003,3.9021,3.8923,3.8834,3.8753,3.8675,3.8607,3.8539,3.8475,3.8418,3.8364,3.8309,3.8261,3.8214,3.8171,3.8127,3.8083,3.8045,3.8004,3.7966,3.7926,3.7885,3.7848,3.7806,3.7766,3.7723,3.7683,3.7639,3.7595,3.7552,3.7503,3.7458,3.7413,3.7368,3.7316,3.727,3.7222,3.7176,3.7132,3.7089,3.7045,3.7002,3.6962,3.6923
35,4.1879,4.1878,3.9799,3.9571,3.9399,3.9253,3.9132,3.9023,3.8921,3.8832,3.8747,3.8671,3.8602,3.8533,3.8469,3.8409,3.8354,3.83,3.825,3.8201,3.8157,3.8112,3.807,3.8028,3.7989,3.7948,3.7909,3.7868,3.7827,3.7785,3.7742,3.7699,3.7656,3.761,3.7566,3.7519,3.7472,3.7427,3.7378,3.7326,3.7279,3.7233,3.7185,3.7136,3.7091,3.7046,3.7001,3.6962,3.6922,3.6883
36,4.1844,4.1845,3.9730000000000003,3.9487,3.9308,3.9157,3.9026,3.8913,3.8807,3.8714,3.8627,3.8546,3.8473,3.8406,3.8344,3.8284,3.8226,3.8174,3.8125,3.8074,3.803,3.7985,3.7941,3.7901,3.7859,3.7816,3.7771,3.7727,3.7684,3.764,3.7594,3.7547,3.7502,3.7451,3.7404,3.7356,3.7306,3.7257,3.7208,3.7157,3.7108,3.7061,3.7013,3.6969,3.6923,3.6879,3.6837,3.6796,3.6757,3.6715
37,4.1858,4.1859,3.9725,3.9472,3.9285,3.9130000000000003,3.8998,3.8878,3.8771,3.8674,3.8585,3.8504,3.8428,3.8357,3.8294,3.8234,3.8178,3.8124,3.8073,3.8025,3.7978,3.7933,3.7889,3.7844,3.78,3.7755,3.7712,3.7667,3.762,3.7572,3.7526,3.7478,3.7428,3.738,3.7327,3.7278,3.7229,3.7175,3.7124,3.7074,3.7024,3.6976,3.6926,3.6882,3.6838,3.6794,3.6751,3.6708,3.6668,3.6628
38,4.1833,4.1833,3.9681,3.9422,3.9232,3.9075,3.8932,3.8812,3.8702,3.8606,3.8516,3.8433,3.8357,3.8287,3.8222,3.8162,3.8102,3.805,3.8,3.7949,3.7905,3.7859,3.7813,3.7767,3.7722,3.7676,3.7628,3.7582,3.7537,3.7485,3.7437,3.7386,3.7336,3.7283,3.7232,3.7178,3.7125,3.7075,3.7023,3.6971,3.6924,3.6876,3.6830000000000003,3.6785,3.674,3.6698,3.6655,3.6614,3.6572,3.6534
39,4.1842,4.1846,3.9698,3.9435,3.924,3.9081,3.8941,3.8819,3.8706,3.8608,3.8522,3.8438,3.8360000000000003,3.8291,3.8227,3.8166,3.8110000000000004,3.8053,3.8001,3.7953,3.7906,3.786,3.7812,3.7767,3.7721,3.7674,3.7628,3.7578,3.7527,3.7477,3.7428,3.7377,3.7323,3.727,3.7215,3.7163,3.7107,3.7057,3.7004,3.6953,3.6903,3.6854,3.6806,3.676,3.6715,3.6672,3.6629,3.6585,3.6546,3.6502
40,4.1873,4.1876,3.9774,3.9505,3.931,3.9148,3.9012,3.8892,3.8782,3.8686,3.8595,3.8512,3.8435,3.8364,3.8299,3.8235,3.8173,3.8118,3.8066,3.8014,3.7965,3.7916,3.7867,3.7816,3.7767,3.7715,3.7665,3.761,3.7555,3.75,3.7443,3.7382,3.7324,3.7264,3.7201,3.7144,3.7084,3.7025,3.6972,3.6917,3.6867,3.6819,3.6771,3.6724,3.6679,3.6633,3.6591,3.6549,3.6504,3.6462
